symbol,short_ret24_threshold,donchian_window,adx_min,stability,median_return,median_max_dd,abs_median_max_dd,median_trades,windows
DOGE/USDT,-0.05,48,16,57.85714285714286,0.4,-0.5549999999999999,0.5549999999999999,5.0,14
DOGE/USDT,-0.05,24,16,57.85714285714286,0.25,-0.655,0.655,5.5,14
DOGE/USDT,-0.06,72,16,55.71428571428572,0.725,-0.5599999999999999,0.5599999999999999,4.0,14
DOGE/USDT,-0.06,72,18,55.71428571428572,0.72,-0.5599999999999999,0.5599999999999999,4.0,14
DOGE/USDT,-0.06,72,20,55.71428571428572,0.7150000000000001,-0.5599999999999999,0.5599999999999999,4.0,14
DOGE/USDT,-0.04,48,22,55.0,0.42499999999999993,-0.565,0.565,5.0,14
DOGE/USDT,-0.05,48,20,55.0,0.395,-0.5599999999999999,0.5599999999999999,5.0,14
DOGE/USDT,-0.05,24,20,55.0,0.195,-0.655,0.655,5.5,14
DOGE/USDT,-0.06,72,22,53.57142857142858,0.765,-0.5549999999999999,0.5549999999999999,4.0,14
DOGE/USDT,-0.05,48,18,52.857142857142854,0.4,-0.5599999999999999,0.5599999999999999,5.0,14
DOGE/USDT,-0.05,72,16,52.857142857142854,0.36,-0.5549999999999999,0.5549999999999999,5.0,14
DOGE/USDT,-0.05,24,18,52.857142857142854,0.19999999999999998,-0.655,0.655,5.5,14
DOGE/USDT,-0.04,24,20,52.857142857142854,0.16499999999999998,-0.8,0.8,6.5,14
DOGE/USDT,-0.04,36,20,52.857142857142854,0.16499999999999998,-0.8,0.8,6.5,14
DOGE/USDT,-0.05,36,16,52.857142857142854,0.16,-0.655,0.655,5.5,14
DOGE/USDT,-0.04,72,22,50.0,0.26999999999999996,-0.59,0.59,5.0,14
DOGE/USDT,-0.05,72,20,50.0,0.24,-0.5599999999999999,0.5599999999999999,5.0,14
DOGE/USDT,-0.05,36,20,50.0,0.04,-0.655,0.655,5.5,14
DOGE/USDT,-0.05,72,18,47.857142857142854,0.245,-0.5599999999999999,0.5599999999999999,5.0,14
DOGE/USDT,-0.04,48,20,47.857142857142854,0.13499999999999998,-0.595,0.595,6.5,14
DOGE/USDT,-0.05,36,18,47.857142857142854,0.045,-0.655,0.655,5.5,14
DOGE/USDT,-0.03,72,16,47.857142857142854,0.03,-0.8,0.8,7.0,14
DOGE/USDT,-0.03,48,22,47.857142857142854,0.020000000000000004,-0.79,0.79,6.0,14
DOGE/USDT,-0.03,72,22,47.857142857142854,-0.034999999999999996,-0.79,0.79,6.0,14
DOGE/USDT,-0.03,48,16,45.714285714285715,-0.05499999999999999,-1.005,1.005,7.5,14
DOGE/USDT,-0.04,48,18,42.857142857142854,-0.045,-0.6799999999999999,0.6799999999999999,6.5,14
DOGE/USDT,-0.04,72,20,42.857142857142854,-0.09499999999999999,-0.595,0.595,6.0,14
DOGE/USDT,-0.04,72,16,42.857142857142854,-0.09999999999999999,-0.7350000000000001,0.7350000000000001,6.0,14
DOGE/USDT,-0.04,72,18,42.857142857142854,-0.09999999999999999,-0.7350000000000001,0.7350000000000001,6.0,14
DOGE/USDT,-0.03,72,18,40.714285714285715,-0.345,-0.79,0.79,6.5,14
DOGE/USDT,-0.03,36,16,38.57142857142857,-0.255,-1.26,1.26,8.0,14
DOGE/USDT,-0.03,48,18,38.57142857142857,-0.27,-0.95,0.95,7.0,14
DOGE/USDT,-0.03,72,20,38.57142857142857,-0.305,-0.79,0.79,6.0,14
DOGE/USDT,-0.04,48,16,35.714285714285715,-0.125,-0.6799999999999999,0.6799999999999999,6.5,14
DOGE/USDT,-0.04,24,18,33.57142857142857,-0.18,-0.8399999999999999,0.8399999999999999,7.0,14
DOGE/USDT,-0.04,36,18,33.57142857142857,-0.275,-0.8399999999999999,0.8399999999999999,7.0,14
DOGE/USDT,-0.03,24,22,33.57142857142857,-0.275,-0.9249999999999998,0.9249999999999998,6.5,14
DOGE/USDT,-0.03,36,22,33.57142857142857,-0.275,-0.9249999999999998,0.9249999999999998,6.5,14
DOGE/USDT,-0.03,48,20,31.428571428571427,-0.245,-0.95,0.95,7.0,14
DOGE/USDT,-0.03,24,16,31.428571428571427,-0.375,-1.26,1.26,8.0,14
DOGE/USDT,-0.03,24,18,31.428571428571427,-0.39,-1.065,1.065,8.0,14
DOGE/USDT,-0.03,36,18,31.428571428571427,-0.39,-1.065,1.065,8.0,14
