symbol,threshold,use_rsi_filter,use_volume_filter,use_trend_filter,rsi_min,rsi_max,min_volume_mult,take_profit_pct,stop_loss_pct,hold_timeout_hours,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score_base,robust_score,robust_horizon_details,score
SUI/USDT,0.03,True,False,False,60.0,90.0,0.8,0.02,0.04,36,-15.91,-1.18,-0.1987,-19.87,66.07,0.93,619,-0.0939,3,3,66.67,66.67,66.67,0.02,0.117,1.2,-5.93,235,45.51,31.49,"{""365"": {""score"": 45.51, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 619, ""total_return_pct"": -15.91, ""max_drawdown_pct"": -19.87}, ""1095"": {""score"": 27.98, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 2266, ""total_return_pct"": -43.65, ""max_drawdown_pct"": -47.18}, ""1825"": {""score"": 27.98, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 2266, ""total_return_pct"": -43.65, ""max_drawdown_pct"": -47.18}}",31.49
SUI/USDT,0.03,False,False,False,55.0,95.0,0.8,0.04,0.07,24,-10.01,-0.45,-0.2404,-24.04,56.31,0.98,499,-0.0288,3,3,66.67,66.67,66.67,1.333,0.657,1.313,-6.177,211,45.1,31.12,"{""365"": {""score"": 45.1, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 499, ""total_return_pct"": -10.01, ""max_drawdown_pct"": -24.04}, ""1095"": {""score"": 27.63, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1807, ""total_return_pct"": -37.15, ""max_drawdown_pct"": -50.45}, ""1825"": {""score"": 27.63, ""wf_positive_pct"": 42.86, ""wf_sharpe_positive_pct"": 42.86, ""wf_pf_above_1_pct"": 42.86, ""total_trades"": 1807, ""total_return_pct"": -37.14, ""max_drawdown_pct"": -50.45}}",31.12
SUI/USDT,0.07,False,False,True,55.0,95.0,0.8,0.04,0.07,12,-0.75,-0.13,-0.0615,-6.15,62.5,0.99,48,-0.008,3,3,66.67,66.67,66.67,0.63,0.897,1.877,-1.79,36,55.75,29.96,"{""365"": {""score"": 55.75, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 48, ""total_return_pct"": -0.75, ""max_drawdown_pct"": -6.15}, ""1095"": {""score"": 23.51, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 28.57, ""total_trades"": 194, ""total_return_pct"": -19.16, ""max_drawdown_pct"": -23.17}, ""1825"": {""score"": 23.51, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 28.57, ""total_trades"": 194, ""total_return_pct"": -19.16, ""max_drawdown_pct"": -23.17}}",29.96
SUI/USDT,0.08,False,False,True,55.0,95.0,0.8,0.03,0.04,36,1.76,0.42,-0.0521,-5.21,66.67,1.39,42,0.5073,3,3,66.67,66.67,66.67,0.753,1.237,3.073,-1.887,28,62.18,29.64,"{""365"": {""score"": 62.18, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 42, ""total_return_pct"": 1.76, ""max_drawdown_pct"": -5.21}, ""1095"": {""score"": 21.51, ""wf_positive_pct"": 30.77, ""wf_sharpe_positive_pct"": 30.77, ""wf_pf_above_1_pct"": 23.08, ""total_trades"": 172, ""total_return_pct"": -18.11, ""max_drawdown_pct"": -22.6}, ""1825"": {""score"": 21.51, ""wf_positive_pct"": 30.77, ""wf_sharpe_positive_pct"": 30.77, ""wf_pf_above_1_pct"": 23.08, ""total_trades"": 172, ""total_return_pct"": -18.11, ""max_drawdown_pct"": -22.6}}",29.64
SUI/USDT,0.07,False,False,False,55.0,95.0,0.8,0.04,0.07,24,-11.18,-0.85,-0.2252,-22.52,54.97,0.83,191,-0.363,3,3,66.67,66.67,66.67,1.22,0.873,1.5,-4.513,80,45.42,29.44,"{""365"": {""score"": 45.42, ""wf_positive_pct"": 66.67, ""wf_sharpe_positive_pct"": 66.67, ""wf_pf_above_1_pct"": 66.67, ""total_trades"": 191, ""total_return_pct"": -11.18, ""max_drawdown_pct"": -22.52}, ""1095"": {""score"": 25.45, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 888, ""total_return_pct"": -32.38, ""max_drawdown_pct"": -43.29}, ""1825"": {""score"": 25.45, ""wf_positive_pct"": 35.71, ""wf_sharpe_positive_pct"": 35.71, ""wf_pf_above_1_pct"": 35.71, ""total_trades"": 888, ""total_return_pct"": -32.38, ""max_drawdown_pct"": -43.29}}",29.44
SUI/USDT,0.03,False,False,False,55.0,95.0,0.8,0.02,0.04,12,-20.43,-1.44,-0.2699,-26.99,61.18,0.94,930,-0.0696,3,3,66.67,66.67,66.67,0.167,0.177,1.16,-5.563,374,44.98,-1.0,,-1.0
SUI/USDT,0.05,True,False,True,65.0,95.0,0.8,0.04,0.07,36,0.11,0.05,-0.0508,-5.08,66.67,1.16,45,0.2962,3,3,33.33,33.33,33.33,-0.063,-0.313,1.933,-3.677,29,44.92,-1.0,,-1.0
SUI/USDT,0.06,False,False,False,55.0,95.0,0.8,0.04,0.07,24,-10.71,-0.74,-0.2036,-20.36,55.46,0.87,238,-0.2548,3,3,66.67,66.67,66.67,1.77,1.02,1.403,-4.733,102,44.67,-1.0,,-1.0
SUI/USDT,0.04,False,False,True,55.0,95.0,0.8,0.04,0.07,12,-1.45,-0.16,-0.055,-5.5,55.86,1.04,145,0.0503,3,3,66.67,66.67,100.0,0.2,0.23,1.253,-3.353,90,44.67,-1.0,,-1.0
SUI/USDT,0.03,True,False,True,55.0,85.0,0.8,0.03,0.05,36,-0.34,0.01,-0.0723,-7.23,59.29,1.08,140,0.1187,3,3,66.67,66.67,100.0,0.737,0.507,1.273,-2.977,77,44.61,-1.0,,-1.0
